280,6910,10050
325,1160,10980
3015,50,60
4307,1440,26691
609,6950,17591
3681,10090,13451
399,11000,12471
4364,2220,27921
805,15410,23732
645,7861,18742
3250,5551,6330
4703,6701,35762
4505,2861,30281
4858,22911,42252
1066,24751,31712
5015,20291,48004
4002,6691,19942
977,14811,29134
1122,9601,34122
4532,12641,30611
116,3232,5131
4577,18172,31702
4139,18172,22911
5352,10972,65533
857,23072,25734
744,942,21961
772,6472,22933
4622,22072,32814
5351,8272,65434
770,8272,22783
4859,3642,42324
8998,20202,89863
1179,28322,36724
8541,25552,36714
1186,24892,36984
5794,35132,95294
5216,28402,55264
3916,17652,17662
2057,17682,95353
1525,21762,52812
2004,44782,92083
4601,32312,32322
8615,6362,42172
9423,26402,206294
6061,36362,114283
4484,25802,30043
9050,36922,96694
8696,40892,48522
1124,4612,34182
9226,19952,134834
5825,19952,98034
5141,49342,52212
3635,12102,12783
4086,18132,21623
5018,18132,48063
4056,17722,20833
5365,5092,66914
5161,19792,52782
8570,15822,38723
1261,28742,41043
4182,23342,23512
2571,33832,144314
341,11322,11332
7743,4952,4962
6642,31982,185924
2394,26412,119683
3245,6012,6193
779,12302,23194
1890,42102,82423
1625,4962,60434
5520,53102,76054
874,17582,26402
346,5022,11472
255,5052,9254
8304,5052,24002
618,15802,17923
1852,47272,78563
1626,11302,60434
1549,32232,53763
1627,29302,60444
274,5072,9962
4128,5062,22642
1210,28762,38522
5329,23082,64313
5477,42832,73533
6295,28032,137384
570,5042,16454
4063,12322,20882
1868,46152,79903
8936,46152,79893
1902,43802,83253
8700,43802,48832
98,4592,4602
690,11492,20203
2294,45372,114583
4723,22632,36622
6290,38282,137054
4499,23532,30223
656,16172,19262
1628,29312,60444
8475,9942,32232
4593,31962,31972
590,4972,17092
5199,45782,54243
4254,11292,25244
5109,48832,50872
2325,50552,116443
1513,33572,52302
9237,48432,140814
3551,11312,11322
2744,50242,167854
1565,43062,54243
1696,5082,66914
6064,48822,114394
5633,48822,83263
9283,53472,156364
9154,48812,116443
5800,48812,95833
5195,48332,54123
5429,40002,70463
4572,29132,31594
